DATE,MATCHUP,BET,RESULT,PNL,UNITS,ODDS,MARKET,BOOK,EDGE,HOME_SCORE,AWAY_SCORE,GRADED_AT
2026-04-01,Los Angeles Angels @ Chicago Cubs,BET (LAA) ML (+139) [HIGH CONFIDENCE],LOSS,-3.0,3.0,139.0,ML,DRAFTKINGS,+2787.0%,6.0,2.0,2026-04-02T00:03:23.210417
2026-04-01,Texas Rangers @ Baltimore Orioles,BET (TEX) RL -1.5 (+160) [HIGH CONFIDENCE],LOSS,-3.0,3.0,160.0,SPREAD,FANDUEL,+2429.0%,8.0,3.0,2026-04-02T00:03:23.210681
2026-04-01,Boston Red Sox @ Houston Astros,BET (BOS) ML (-146) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,-146.0,ML,FANDUEL,+1083.0%,6.0,4.0,2026-04-02T00:03:23.211119
2026-04-01,Boston Red Sox @ Houston Astros,BET (HOU/BOS) OVER 7.5 (+100) [LOW CONFIDENCE],WIN,1.0,1.0,100.0,TOTAL,FANDUEL,+736.0%,6.0,4.0,2026-04-02T00:03:23.211476
2026-04-01,Cleveland Guardians @ Los Angeles Dodgers,BET (CLE) RL +1.5 (-102) [MEDIUM CONFIDENCE],WIN,1.961,2.0,-102.0,SPREAD,FANDUEL,+1079.0%,1.0,4.0,2026-04-02T00:03:23.211554
2026-04-01,Pittsburgh Pirates @ Cincinnati Reds,BET (PIT) RL -1.5 (+112) [LOW CONFIDENCE],WIN,1.12,1.0,112.0,SPREAD,FANDUEL,+886.0%,3.0,8.0,2026-04-02T00:03:23.211613
2026-04-01,Chicago White Sox @ Miami Marlins,BET (MIA) ML (-156) [LOW CONFIDENCE],WIN,0.641,1.0,-156.0,ML,FANDUEL,+764.0%,10.0,0.0,2026-04-02T00:03:23.211726
2026-04-01,Colorado Rockies @ Toronto Blue Jays,BET (TOR) RL -1.5 (-120) [LOW CONFIDENCE],LOSS,-1.0,1.0,-120.0,SPREAD,FANDUEL,+757.0%,1.0,2.0,2026-04-02T00:03:23.211773
2026-04-01,Detroit Tigers @ Arizona Diamondbacks,BET (ARI/DET) OVER 8.0 (+100) [LOW CONFIDENCE],LOSS,-1.0,1.0,100.0,TOTAL,FANDUEL,+736.0%,1.0,0.0,2026-04-02T00:03:23.211818
2026-04-01,New York Yankees @ Seattle Mariners,BET (SEA) ML (-120) [LOW CONFIDENCE],LOSS,-1.0,1.0,-120.0,ML,FANDUEL,+725.0%,3.0,5.0,2026-04-02T00:03:23.211862
2026-04-02,Minnesota Twins @ Kansas City Royals,BET (MIN) ML (+136) [HIGH CONFIDENCE],WIN,4.08,3.0,136.0,ML,FANDUEL,+1657.0%,1.0,5.0,2026-04-03T00:18:31.830090
2026-04-02,New York Mets @ San Francisco Giants,BET (NYM) ML (-124) [HIGH CONFIDENCE],LOSS,-3.0,3.0,-124.0,ML,FANDUEL,+1653.0%,7.0,2.0,2026-04-03T00:26:15.864918
2026-04-03,Philadelphia Phillies @ Colorado Rockies,BET (COL) ML (+168) [HIGH CONFIDENCE],LOSS,-3.0,3.0,168.0,ML,FANDUEL,+23.8%,1.0,10.0,2026-04-04T00:48:45.013587
2026-04-03,Tampa Bay Rays @ Minnesota Twins,BET (MIN) ML (-110) [HIGH CONFIDENCE],WIN,2.727,3.0,-110.0,ML,DRAFTKINGS,+16.2%,10.0,4.0,2026-04-04T00:48:45.014065
2026-04-03,St. Louis Cardinals @ Detroit Tigers,BET (DET) RL -1.5 (+115) [HIGH CONFIDENCE],WIN,3.45,3.0,115.0,SPREAD,DRAFTKINGS,+15.2%,4.0,0.0,2026-04-04T00:48:45.014324
2026-04-03,St. Louis Cardinals @ Detroit Tigers,BET (STL) ML (+153) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,153.0,ML,DRAFTKINGS,+14.6%,4.0,0.0,2026-04-04T00:48:45.014429
2026-04-03,Baltimore Orioles @ Pittsburgh Pirates,BET (PIT) ML (+102) [MEDIUM CONFIDENCE],WIN,2.04,2.0,102.0,ML,FANDUEL,+12.1%,5.0,4.0,2026-04-04T00:48:45.014529
2026-04-03,San Diego Padres @ Boston Red Sox,BET (SDP) RL -1.5 (+168) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,168.0,SPREAD,FANDUEL,+10.2%,5.0,2.0,2026-04-04T00:48:45.014686
2026-04-03,Toronto Blue Jays @ Chicago White Sox,BET (CHW) ML (+168) [LOW CONFIDENCE],WIN,1.68,1.0,168.0,ML,FANDUEL,+8.1%,5.0,4.0,2026-04-04T00:48:45.014961
2026-04-03,Toronto Blue Jays @ Chicago White Sox,BET (TOR) RL -1.5 (-118) [LOW CONFIDENCE],LOSS,-1.0,1.0,-118.0,SPREAD,FANDUEL,+8.0%,5.0,4.0,2026-04-04T00:48:45.015108
2026-04-03,Toronto Blue Jays @ Chicago White Sox,BET (CHW/TOR) OVER 7.5 (+102) [LOW CONFIDENCE],WIN,1.02,1.0,102.0,TOTAL,DRAFTKINGS,+7.6%,5.0,4.0,2026-04-04T00:48:45.015518
2026-04-04,Philadelphia Phillies @ Colorado Rockies,BET (COL) ML (+168) [HIGH CONFIDENCE],LOSS,-3.0,3.0,168.0,ML,FANDUEL,+23.8%,1.0,2.0,2026-04-05T00:57:26.992935
2026-04-04,Seattle Mariners @ Los Angeles Angels,BET (LAA) ML (+136) [HIGH CONFIDENCE],WIN,4.08,3.0,136.0,ML,FANDUEL,+23.6%,1.0,0.0,2026-04-05T00:57:26.993077
2026-04-04,Seattle Mariners @ Los Angeles Angels,BET (SEA) RL -1.5 (+110) [LOW CONFIDENCE],LOSS,-1.0,1.0,110.0,SPREAD,FANDUEL,+8.5%,1.0,0.0,2026-04-05T00:57:26.993282
2026-04-04,Milwaukee Brewers @ Kansas City Royals,BET (MIL) ML (-110) [HIGH CONFIDENCE],LOSS,-3.0,3.0,-110.0,ML,FANDUEL,+19.4%,8.0,2.0,2026-04-05T00:57:26.993395
2026-04-04,Tampa Bay Rays @ Minnesota Twins,BET (MIN) ML (-110) [HIGH CONFIDENCE],LOSS,-3.0,3.0,-110.0,ML,DRAFTKINGS,+16.2%,1.0,7.0,2026-04-05T00:57:26.993542
2026-04-04,New York Mets @ San Francisco Giants,BET (NYM) ML (-130) [HIGH CONFIDENCE],WIN,2.308,3.0,-130.0,ML,FANDUEL,+15.5%,0.0,9.0,2026-04-05T00:57:26.993600
2026-04-04,St. Louis Cardinals @ Detroit Tigers,BET (DET) RL -1.5 (+115) [HIGH CONFIDENCE],WIN,3.45,3.0,115.0,SPREAD,DRAFTKINGS,+15.2%,11.0,6.0,2026-04-05T00:57:26.993666
2026-04-04,St. Louis Cardinals @ Detroit Tigers,BET (STL) ML (+153) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,153.0,ML,DRAFTKINGS,+14.6%,11.0,6.0,2026-04-05T00:57:26.993785
2026-04-04,Baltimore Orioles @ Pittsburgh Pirates,BET (PIT) ML (+102) [MEDIUM CONFIDENCE],WIN,2.04,2.0,102.0,ML,FANDUEL,+12.1%,3.0,2.0,2026-04-05T00:57:26.993870
2026-04-04,San Diego Padres @ Boston Red Sox,BET (SDP) RL -1.5 (+168) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,168.0,SPREAD,FANDUEL,+10.2%,2.0,3.0,2026-04-05T00:57:26.993962
2026-04-04,Toronto Blue Jays @ Chicago White Sox,BET (CHW) ML (+168) [LOW CONFIDENCE],WIN,1.68,1.0,168.0,ML,FANDUEL,+8.1%,6.0,3.0,2026-04-05T00:57:26.994100
2026-04-04,Toronto Blue Jays @ Chicago White Sox,BET (TOR) RL -1.5 (-118) [LOW CONFIDENCE],LOSS,-1.0,1.0,-118.0,SPREAD,FANDUEL,+8.0%,6.0,3.0,2026-04-05T00:57:26.994188
2026-04-04,Toronto Blue Jays @ Chicago White Sox,BET (CHW/TOR) OVER 7.5 (+102) [LOW CONFIDENCE],WIN,1.02,1.0,102.0,TOTAL,DRAFTKINGS,+7.6%,6.0,3.0,2026-04-05T00:57:26.994489
2026-04-05,Milwaukee Brewers @ Kansas City Royals,BET (MIL) ML (+108) [HIGH CONFIDENCE],WIN,3.24,3.0,108.0,ML,FANDUEL,+23.5%,5.0,8.0,2026-04-06T00:04:40.119659
2026-04-05,Seattle Mariners @ Los Angeles Angels,BET (LAA) ML (+141) [HIGH CONFIDENCE],WIN,4.23,3.0,141.0,ML,DRAFTKINGS,+22.6%,8.0,7.0,2026-04-06T00:04:40.119777
2026-04-05,New York Mets @ San Francisco Giants,BET (NYM) ML (+102) [HIGH CONFIDENCE],WIN,3.06,3.0,102.0,ML,FANDUEL,+22.2%,2.0,5.0,2026-04-06T00:04:40.119857
2026-04-05,Chicago Cubs @ Cleveland Guardians,BET (CHC) RL -1.5 (+129) [HIGH CONFIDENCE],LOSS,-3.0,3.0,129.0,SPREAD,DRAFTKINGS,+21.7%,6.0,5.0,2026-04-06T00:04:40.119999
2026-04-05,St. Louis Cardinals @ Detroit Tigers,BET (DET) RL -1.5 (+149) [HIGH CONFIDENCE],LOSS,-3.0,3.0,149.0,SPREAD,DRAFTKINGS,+21.2%,3.0,5.0,2026-04-06T00:04:40.120251
2026-04-05,Cincinnati Reds @ Texas Rangers,BET (CIN) RL -1.5 (+164) [HIGH CONFIDENCE],LOSS,-3.0,3.0,164.0,SPREAD,FANDUEL,+17.8%,1.0,2.0,2026-04-06T00:04:40.120352
2026-04-05,Cincinnati Reds @ Texas Rangers,BET (TEX) ML (-118) [LOW CONFIDENCE],LOSS,-1.0,1.0,-118.0,ML,FANDUEL,+7.7%,1.0,2.0,2026-04-06T00:04:40.120429
2026-04-05,Tampa Bay Rays @ Minnesota Twins,BET (MIN) ML (-115) [HIGH CONFIDENCE],LOSS,-3.0,3.0,-115.0,ML,DRAFTKINGS,+15.1%,1.0,4.0,2026-04-06T00:04:40.120496
2026-04-05,Toronto Blue Jays @ Chicago White Sox,BET (TOR) RL -1.5 (+113) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,113.0,SPREAD,DRAFTKINGS,+14.0%,3.0,0.0,2026-04-06T00:04:40.120559
2026-04-05,San Diego Padres @ Boston Red Sox,BET (BOS) RL -1.5 (+129) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,129.0,SPREAD,DRAFTKINGS,+12.3%,6.0,8.0,2026-04-06T00:04:40.120670
2026-04-05,Los Angeles Dodgers @ Washington Nationals,BET (WSN) ML (+179) [LOW CONFIDENCE],LOSS,-1.0,1.0,179.0,ML,DRAFTKINGS,+8.5%,6.0,8.0,2026-04-06T00:04:40.120778
2026-04-05,Philadelphia Phillies @ Colorado Rockies,BET (COL) ML (+144) [LOW CONFIDENCE],WIN,1.44,1.0,144.0,ML,DRAFTKINGS,+8.4%,4.0,1.0,2026-04-06T00:04:40.120844
2026-04-05,Miami Marlins @ New York Yankees,BET (MIA) ML (+225) [LOW CONFIDENCE],WIN,2.25,1.0,225.0,ML,FANDUEL,+8.2%,6.0,7.0,2026-04-06T00:04:40.120901
2026-04-05,Baltimore Orioles @ Pittsburgh Pirates,BET (PIT) ML (-120) [LOW CONFIDENCE],WIN,0.833,1.0,-120.0,ML,FANDUEL,+7.2%,8.0,2.0,2026-04-06T00:04:40.120957
2026-04-06,Cincinnati Reds @ Miami Marlins,BET (CIN) RL -1.5 (+184) [HIGH CONFIDENCE],WIN,5.52,3.0,184.0,SPREAD,FANDUEL,+30.8%,0.0,2.0,2026-04-07T00:10:58.267275
2026-04-06,Cincinnati Reds @ Miami Marlins,BET (MIA) ML (-122) [LOW CONFIDENCE],LOSS,-1.0,1.0,-122.0,ML,FANDUEL,+9.4%,0.0,2.0,2026-04-07T00:10:58.267494
2026-04-06,Chicago Cubs @ Tampa Bay Rays,BET (CHC) RL -1.5 (+152) [HIGH CONFIDENCE],LOSS,-3.0,3.0,152.0,SPREAD,FANDUEL,+26.5%,6.0,4.0,2026-04-07T00:10:58.267732
2026-04-06,Chicago Cubs @ Tampa Bay Rays,BET (CHC) ML (-106) [LOW CONFIDENCE],LOSS,-1.0,1.0,-106.0,ML,FANDUEL,+7.7%,6.0,4.0,2026-04-07T00:10:58.267884
2026-04-06,Kansas City Royals @ Cleveland Guardians,BET (KCR) RL -1.5 (+176) [HIGH CONFIDENCE],WIN,5.28,3.0,176.0,SPREAD,FANDUEL,+24.4%,2.0,4.0,2026-04-07T00:10:58.268002
2026-04-06,Seattle Mariners @ Texas Rangers,BET (SEA) RL -1.5 (+158) [HIGH CONFIDENCE],LOSS,-3.0,3.0,158.0,SPREAD,FANDUEL,+22.0%,2.0,1.0,2026-04-07T00:10:58.268167
2026-04-06,Seattle Mariners @ Texas Rangers,BET (TEX) ML (-112) [LOW CONFIDENCE],WIN,0.893,1.0,-112.0,ML,FANDUEL,+8.8%,2.0,1.0,2026-04-07T00:10:58.268321
2026-04-06,Atlanta Braves @ Los Angeles Angels,BET (ATL) RL -1.5 (+112) [HIGH CONFIDENCE],LOSS,-3.0,3.0,112.0,SPREAD,FANDUEL,+19.4%,6.0,2.0,2026-04-07T00:10:58.268475
2026-04-06,Baltimore Orioles @ Chicago White Sox,BET (CHW) ML (+120) [HIGH CONFIDENCE],LOSS,-3.0,3.0,120.0,ML,FANDUEL,+18.6%,1.0,2.0,2026-04-07T00:10:58.268604
2026-04-06,Baltimore Orioles @ Chicago White Sox,BET (BAL) RL -1.5 (+109) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,109.0,SPREAD,DRAFTKINGS,+13.2%,1.0,2.0,2026-04-07T00:10:58.268699
2026-04-06,Milwaukee Brewers @ Boston Red Sox,BET (MIL) ML (-108) [HIGH CONFIDENCE],WIN,2.778,3.0,-108.0,ML,FANDUEL,+17.9%,6.0,8.0,2026-04-07T00:10:58.268771
2026-04-06,St. Louis Cardinals @ Washington Nationals,BET (STL) RL -1.5 (+155) [HIGH CONFIDENCE],LOSS,-3.0,3.0,155.0,SPREAD,FANDUEL,+16.5%,9.0,6.0,2026-04-07T00:10:58.268899
2026-04-06,St. Louis Cardinals @ Washington Nationals,BET (WSN) ML (-105) [MEDIUM CONFIDENCE],WIN,1.905,2.0,-105.0,ML,DRAFTKINGS,+10.8%,9.0,6.0,2026-04-07T00:10:58.269017
2026-04-06,Houston Astros @ Colorado Rockies,BET (COL) ML (+184) [MEDIUM CONFIDENCE],WIN,3.68,2.0,184.0,ML,DRAFTKINGS,+13.9%,9.0,7.0,2026-04-07T00:10:58.269123
2026-04-06,Houston Astros @ Colorado Rockies,BET (HOU) RL -1.5 (-122) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,-122.0,SPREAD,DRAFTKINGS,+11.4%,9.0,7.0,2026-04-07T00:10:58.269224
2026-04-06,Detroit Tigers @ Minnesota Twins,BET (MIN) ML (-120) [MEDIUM CONFIDENCE],WIN,1.667,2.0,-120.0,ML,DRAFTKINGS,+10.1%,7.0,3.0,2026-04-07T00:10:58.269354
2026-04-06,Detroit Tigers @ Minnesota Twins,BET (DET) RL +1.5 (+166) [LOW CONFIDENCE],LOSS,-1.0,1.0,166.0,SPREAD,DRAFTKINGS,+8.1%,7.0,3.0,2026-04-07T00:10:58.269441
2026-04-07,Milwaukee Brewers @ Boston Red Sox,BET (MIL) ML (+136) [HIGH CONFIDENCE],LOSS,-3.0,3.0,136.0,ML,FANDUEL,+29.1%,3.0,2.0,2026-04-08T07:27:31.497955
2026-04-07,Kansas City Royals @ Cleveland Guardians,BET (KCR) RL -1.5 (+168) [HIGH CONFIDENCE],LOSS,-3.0,3.0,168.0,SPREAD,FANDUEL,+23.4%,2.0,1.0,2026-04-08T07:27:31.498208
2026-04-07,Seattle Mariners @ Texas Rangers,BET (SEA) RL -1.5 (+158) [HIGH CONFIDENCE],LOSS,-3.0,3.0,158.0,SPREAD,FANDUEL,+22.0%,3.0,2.0,2026-04-08T07:27:31.498408
2026-04-07,Seattle Mariners @ Texas Rangers,BET (TEX) ML (+100) [MEDIUM CONFIDENCE],WIN,2.0,2.0,100.0,ML,DRAFTKINGS,+11.8%,3.0,2.0,2026-04-08T07:27:31.498558
2026-04-07,Detroit Tigers @ Minnesota Twins,BET (MIN) ML (+144) [HIGH CONFIDENCE],WIN,4.32,3.0,144.0,ML,FANDUEL,+20.4%,4.0,2.0,2026-04-08T07:27:31.498723
2026-04-07,Arizona Diamondbacks @ New York Mets,BET (NYM) RL -1.5 (+139) [HIGH CONFIDENCE],LOSS,-3.0,3.0,139.0,SPREAD,DRAFTKINGS,+19.6%,4.0,3.0,2026-04-08T07:27:31.498906
2026-04-07,Baltimore Orioles @ Chicago White Sox,BET (CHW) ML (+119) [HIGH CONFIDENCE],LOSS,-3.0,3.0,119.0,ML,DRAFTKINGS,+18.5%,2.0,4.0,2026-04-08T07:27:31.499061
2026-04-07,Baltimore Orioles @ Chicago White Sox,BET (BAL) RL -1.5 (+132) [HIGH CONFIDENCE],WIN,3.96,3.0,132.0,SPREAD,FANDUEL,+17.9%,2.0,4.0,2026-04-08T07:27:31.499182
2026-04-07,Atlanta Braves @ Los Angeles Angels,BET (ATL) RL -1.5 (+119) [HIGH CONFIDENCE],WIN,3.57,3.0,119.0,SPREAD,DRAFTKINGS,+15.6%,2.0,7.0,2026-04-08T07:27:31.499327
2026-04-07,Chicago Cubs @ Tampa Bay Rays,BET (CHC) ML (+118) [MEDIUM CONFIDENCE],WIN,2.36,2.0,118.0,ML,FANDUEL,+13.1%,2.0,9.0,2026-04-08T07:27:31.499601
2026-04-07,St. Louis Cardinals @ Washington Nationals,BET (WSN) ML (-108) [LOW CONFIDENCE],LOSS,-1.0,1.0,-108.0,ML,FANDUEL,+9.7%,6.0,7.0,2026-04-08T07:27:31.499710
2026-04-07,St. Louis Cardinals @ Washington Nationals,BET (STL) RL -1.5 (+156) [LOW CONFIDENCE],LOSS,-1.0,1.0,156.0,SPREAD,DRAFTKINGS,+8.4%,6.0,7.0,2026-04-08T07:27:31.499803
2026-04-07,Cincinnati Reds @ Miami Marlins,BET (MIA) ML (-126) [LOW CONFIDENCE],LOSS,-1.0,1.0,-126.0,ML,FANDUEL,+8.5%,3.0,6.0,2026-04-08T07:27:31.499997
2026-04-07,Houston Astros @ Colorado Rockies,BET (COL) ML (+153) [LOW CONFIDENCE],WIN,1.53,1.0,153.0,ML,DRAFTKINGS,+7.3%,5.0,1.0,2026-04-08T07:27:31.500117
2026-04-08,Chicago Cubs @ Tampa Bay Rays,BET (CHC) RL -1.5 (+150) [HIGH CONFIDENCE],WIN,4.5,3.0,150.0,SPREAD,FANDUEL,+26.2%,2.0,6.0,2026-04-09T11:14:26.626861
2026-04-08,Chicago Cubs @ Tampa Bay Rays,BET (CHC) ML (-108) [LOW CONFIDENCE],WIN,0.926,1.0,-108.0,ML,FANDUEL,+7.2%,2.0,6.0,2026-04-09T11:14:26.627015
2026-04-08,Arizona Diamondbacks @ New York Mets,BET (NYM) RL -1.5 (+152) [HIGH CONFIDENCE],LOSS,-3.0,3.0,152.0,SPREAD,FANDUEL,+21.8%,2.0,7.0,2026-04-09T11:14:26.627141
2026-04-08,Baltimore Orioles @ Chicago White Sox,BET (CHW) ML (+136) [HIGH CONFIDENCE],LOSS,-3.0,3.0,136.0,ML,FANDUEL,+21.6%,3.0,5.0,2026-04-09T11:14:26.627275
2026-04-08,Baltimore Orioles @ Chicago White Sox,BET (BAL) RL -1.5 (+113) [HIGH CONFIDENCE],WIN,3.39,3.0,113.0,SPREAD,DRAFTKINGS,+19.5%,3.0,5.0,2026-04-09T11:14:26.627344
2026-04-08,Atlanta Braves @ Los Angeles Angels,BET (ATL) RL -1.5 (+123) [HIGH CONFIDENCE],WIN,3.69,3.0,123.0,SPREAD,DRAFTKINGS,+21.5%,2.0,8.0,2026-04-09T11:14:26.627475
2026-04-08,Seattle Mariners @ Texas Rangers,BET (SEA) RL -1.5 (+146) [HIGH CONFIDENCE],LOSS,-3.0,3.0,146.0,SPREAD,FANDUEL,+20.1%,3.0,0.0,2026-04-09T11:14:26.627589
2026-04-08,Seattle Mariners @ Texas Rangers,BET (TEX) ML (+109) [MEDIUM CONFIDENCE],WIN,2.18,2.0,109.0,ML,DRAFTKINGS,+13.9%,3.0,0.0,2026-04-09T11:14:26.627654
2026-04-08,Kansas City Royals @ Cleveland Guardians,BET (KCR) RL -1.5 (+140) [HIGH CONFIDENCE],LOSS,-3.0,3.0,140.0,SPREAD,FANDUEL,+19.2%,10.0,2.0,2026-04-09T11:14:26.627707
2026-04-08,St. Louis Cardinals @ Washington Nationals,BET (WSN) ML (+110) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,110.0,ML,FANDUEL,+13.9%,1.0,6.0,2026-04-09T11:14:26.627759
2026-04-08,St. Louis Cardinals @ Washington Nationals,BET (STL) RL -1.5 (+132) [MEDIUM CONFIDENCE],WIN,2.64,2.0,132.0,SPREAD,FANDUEL,+12.8%,1.0,6.0,2026-04-09T11:14:26.627805
2026-04-08,Milwaukee Brewers @ Boston Red Sox,BET (MIL) ML (+114) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,114.0,ML,FANDUEL,+12.3%,5.0,0.0,2026-04-09T11:14:26.627904
2026-04-08,San Diego Padres @ Pittsburgh Pirates,BET (PIT) ML (-106) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,-106.0,ML,FANDUEL,+10.1%,2.0,8.0,2026-04-09T11:14:26.628018
2026-04-08,San Diego Padres @ Pittsburgh Pirates,BET (PIT/SDP) OVER 7.5 (+100) [LOW CONFIDENCE],WIN,1.0,1.0,100.0,TOTAL,DRAFTKINGS,+7.2%,2.0,8.0,2026-04-09T11:14:26.628264
2026-04-08,Cincinnati Reds @ Miami Marlins,BET (MIA) ML (-126) [LOW CONFIDENCE],WIN,0.794,1.0,-126.0,ML,FANDUEL,+8.5%,7.0,4.0,2026-04-09T11:14:26.628332
2026-04-09,Detroit Tigers @ Minnesota Twins,BET (DET) RL -1.5 (+123) [HIGH CONFIDENCE],LOSS,-3.0,3.0,123.0,SPREAD,DRAFTKINGS,+21.3%,3.0,1.0,2026-04-10T19:24:59.626140
2026-04-09,Arizona Diamondbacks @ New York Mets,BET (NYM) RL -1.5 (+135) [HIGH CONFIDENCE],LOSS,-3.0,3.0,135.0,SPREAD,DRAFTKINGS,+18.9%,1.0,7.0,2026-04-10T19:24:59.626307
2026-04-09,Chicago White Sox @ Kansas City Royals,BET (CHW) ML (+153) [HIGH CONFIDENCE],WIN,4.59,3.0,153.0,ML,DRAFTKINGS,+17.1%,0.0,2.0,2026-04-10T19:24:59.626489
2026-04-09,Cincinnati Reds @ Miami Marlins,BET (MIA) ML (-126) [LOW CONFIDENCE],WIN,0.794,1.0,-126.0,ML,FANDUEL,+8.5%,8.0,1.0,2026-04-10T19:24:59.626838
2026-04-10,Miami Marlins @ Detroit Tigers,BET (MIA) ML (+180) [HIGH CONFIDENCE],LOSS,-3.0,3.0,180.0,ML,FANDUEL,+36.1%,2.0,0.0,2026-04-11T00:23:44.708197
2026-04-10,Minnesota Twins @ Toronto Blue Jays,BET (TOR) ML (+168) [HIGH CONFIDENCE],WIN,5.04,3.0,168.0,ML,FANDUEL,+29.1%,10.0,4.0,2026-04-11T00:23:44.708350
2026-04-10,Los Angeles Angels @ Cincinnati Reds,BET (LAA) ML (-104) [HIGH CONFIDENCE],WIN,2.885,3.0,-104.0,ML,FANDUEL,+19.8%,2.0,10.0,2026-04-11T00:23:44.708481
2026-04-10,Cleveland Guardians @ Atlanta Braves,BET (ATL) RL -1.5 (+128) [HIGH CONFIDENCE],WIN,3.84,3.0,128.0,SPREAD,FANDUEL,+18.8%,11.0,5.0,2026-04-11T00:23:44.708667
2026-04-10,Chicago White Sox @ Kansas City Royals,BET (CHW) ML (+153) [HIGH CONFIDENCE],LOSS,-3.0,3.0,153.0,ML,DRAFTKINGS,+17.1%,2.0,0.0,2026-04-11T00:23:44.708762
2026-04-10,New York Yankees @ Tampa Bay Rays,BET (TBR) ML (+220) [HIGH CONFIDENCE],WIN,6.6,3.0,220.0,ML,FANDUEL,+15.7%,5.0,3.0,2026-04-11T00:23:44.709131
2026-04-10,Washington Nationals @ Milwaukee Brewers,BET (MIL) RL -1.5 (+105) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,105.0,SPREAD,FANDUEL,+13.1%,3.0,7.0,2026-04-11T00:23:44.709233
2026-04-10,San Francisco Giants @ Baltimore Orioles,BET (BAL) RL -1.5 (+144) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,144.0,SPREAD,FANDUEL,+11.6%,3.0,6.0,2026-04-11T00:23:44.709363
2026-04-11,Miami Marlins @ Detroit Tigers,BET (MIA) ML (+124) [HIGH CONFIDENCE],LOSS,-3.0,3.0,124,ML,FANDUEL,+26.9%,6.0,1.0,2026-04-12T00:11:53.826348
2026-04-11,Minnesota Twins @ Toronto Blue Jays,BET (MIN) RL -1.5 (+164) [HIGH CONFIDENCE],WIN,4.92,3.0,164,SPREAD,FANDUEL,+22.8%,4.0,7.0,2026-04-12T00:11:53.826606
2026-04-11,Boston Red Sox @ St. Louis Cardinals,BET (BOS) RL -1.5 (+119) [HIGH CONFIDENCE],WIN,3.57,3.0,119,SPREAD,DRAFTKINGS,+20.1%,1.0,7.0,2026-04-12T00:11:53.826742
2026-04-11,San Francisco Giants @ Baltimore Orioles,BET (SFG) RL -1.5 (+146) [HIGH CONFIDENCE],LOSS,-3.0,3.0,146,SPREAD,FANDUEL,+20.1%,6.0,2.0,2026-04-12T00:11:53.826914
2026-04-11,Arizona Diamondbacks @ Philadelphia Phillies,BET (PHI) RL -1.5 (+168) [HIGH CONFIDENCE],LOSS,-3.0,3.0,168,SPREAD,FANDUEL,+18.4%,4.0,3.0,2026-04-12T00:11:53.827109
2026-04-11,Chicago White Sox @ Kansas City Royals,BET (CHW) ML (+159) [HIGH CONFIDENCE],LOSS,-3.0,3.0,159,ML,DRAFTKINGS,+17.9%,2.0,0.0,2026-04-12T00:11:53.827180
2026-04-11,Washington Nationals @ Milwaukee Brewers,BET (MIL) RL -1.5 (+123) [HIGH CONFIDENCE],LOSS,-3.0,3.0,123,SPREAD,DRAFTKINGS,+16.6%,1.0,3.0,2026-04-12T00:11:53.827239
2026-04-11,Los Angeles Angels @ Cincinnati Reds,BET (LAA) ML (+113) [MEDIUM CONFIDENCE],LOSS,-2.0,2.0,113,ML,DRAFTKINGS,+12.3%,7.0,3.0,2026-04-12T00:11:53.827446
2026-04-11,Pittsburgh Pirates @ Chicago Cubs,BET (CHC) RL -1.5 (+164) [LOW CONFIDENCE],LOSS,-1.0,1.0,164,SPREAD,FANDUEL,+9.7%,3.0,4.0,2026-04-12T00:11:53.827514
2026-04-11,Cleveland Guardians @ Atlanta Braves,BET (CLE) RL -1.5 (+162) [LOW CONFIDENCE],WIN,1.62,1.0,162,SPREAD,FANDUEL,+9.3%,0.0,6.0,2026-04-12T00:11:53.827568
2026-04-11,New York Yankees @ Tampa Bay Rays,BET (TBR) ML (+163) [LOW CONFIDENCE],WIN,1.63,1.0,163,ML,DRAFTKINGS,+8.8%,5.0,4.0,2026-04-12T00:11:53.827726
